to acquire, to obtain, to get|حَصَلَ (يَحصُلُ) حُصول||verb|||16
to tell a story; to talk|حَكَى (يَحْكي) حِكاية||verb|||16
to go out; to exit|خَرَجَ (يَخرُجُ) خُروج||verb|||16
orator, preacher, speaker|خَطيب|خُطَباء|noun|occupations|m|16
to enter|دَخَلَ (يَدخُلُ) دُخول||verb|||16
to pay|دَفَعَ (يَدْفَعُ) دَفْع||verb|||16
defense|دِفاع|دِفاعات|noun|other|m|16
head|رأس|رُؤوس|noun|body|m|16
to reject|رَفَضَ (يَرفُضُ/يَرفِضُ) رَفْض||verb|||16
leader, president|رَئيس|رُؤَساء|noun|occupations|m|16
leader (popular)|زَعيم|زُعَماء|noun|occupations|m|16
young man|شابّ|شَباب|noun|people|m|16
poet|شاعِر|شُعَراء|noun|occupations|m|16
personality, character|شَخصِيّة|شَخصِيّات|noun|abstract|f|16
ranking officer|ضابِط|ضُبّاط|noun|other|m|16
to request, to order (e.g. in a restaurant)|طَلَبَ (يَطْلُب) طَلَب||verb|||16
Toulon (a town in southern France)|طولون||noun|places|f|16
scholar, scientist|عالِم|عُلَماء|noun|occupations|m|16
sociologist|عالِم اجْتِماع||noun|occupations|m|16
sociology|عِلْم اجْتِماع||noun|subjects|m|16
to introduce someone to someone else|عَرَّفَ (يُعَرِّف) تَعريف (على)||verb|||16
race, element|عُنصٌر|عَناصِر|noun|other|m|16
racial|عُنصُريّ||adj|other||16
